                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.0968,                0.61484,                 1.2064,                0.86371,                0.80734,                0.84418,                0.55014,                 1.2467,                 0.8143,                  1.223,             0.00052739,             0.00052739,             0.00052739
                     68,                 1.0713,                 0.5991,                 1.2042,                 0.8565,                0.76663,                0.83627,                 0.5324,                 1.2982,                0.85557,                 1.2488,             0.00052456,             0.00052456,             0.00052456
                     69,                 1.0585,                0.60999,                 1.1847,                 0.8244,                0.80275,                0.82032,                0.52275,                 1.3484,                0.85157,                 1.2739,             0.00052173,             0.00052173,             0.00052173
                     70,                 1.0407,                0.58942,                 1.1955,                 0.8678,                0.77523,                0.82416,                0.51713,                 1.3189,                0.85557,                 1.2587,             0.00051891,             0.00051891,             0.00051891
                     71,                 1.0593,                0.59541,                 1.1841,                0.85811,                0.76606,                0.80657,                0.50697,                 1.3031,                0.84546,                  1.242,             0.00051608,             0.00051608,             0.00051608
                     72,                 1.0665,                0.59002,                 1.1991,                 0.8978,                0.76561,                0.82262,                0.53038,                 1.2823,                0.90128,                 1.2107,             0.00051325,             0.00051325,             0.00051325
                     73,                 1.0495,                0.58908,                 1.2045,                0.89929,                0.77829,                0.82112,                0.53208,                 1.2715,                0.84931,                 1.2256,             0.00051042,             0.00051042,             0.00051042
                     74,                 1.0159,                 0.5935,                 1.1704,                0.84206,                 0.7844,                0.83034,                0.53347,                  1.272,                 0.8039,                 1.2534,              0.0005076,              0.0005076,              0.0005076
                     75,                 1.0168,                0.55925,                 1.1742,                 0.8664,                0.80323,                0.84851,                0.54293,                 1.2427,                0.78566,                 1.2331,             0.00050477,             0.00050477,             0.00050477
                     76,                 1.0065,                0.57198,                 1.1705,                0.86514,                0.76512,                0.80666,                0.53259,                  1.238,                 0.8465,                 1.2338,             0.00050194,             0.00050194,             0.00050194
