                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     55,                 2.9341,                 2.2316,                 3.0288,                0.81949,                0.74227,                0.82265,                0.42133,                  3.316,                 2.0524,                 3.2578,              0.0012872,              0.0012872,              0.0012872
                     56,                 2.9242,                 2.1991,                 3.0208,                0.75722,                0.80388,                0.85771,                0.46572,                 2.9277,                 1.8978,                 3.1031,               0.001274,               0.001274,               0.001274
                     57,                 2.9374,                 2.2475,                 2.9978,                0.84233,                0.79381,                0.84885,                0.43031,                 3.0456,                   1.92,                 3.0988,              0.0012608,              0.0012608,              0.0012608
                     58,                 2.8284,                 2.0795,                 2.9508,                0.84998,                0.81777,                0.86719,                0.48331,                 2.8292,                  1.835,                 2.9416,              0.0012476,              0.0012476,              0.0012476
                     59,                  2.832,                 2.1084,                  2.967,                0.82762,                0.79195,                0.86931,                0.51356,                 2.9589,                 1.6652,                 3.0396,              0.0012344,              0.0012344,              0.0012344
                     60,                 2.7902,                 2.0424,                 2.9032,                0.79858,                0.80412,                0.81734,                 0.4614,                 3.0407,                 1.9591,                 3.1636,              0.0012212,              0.0012212,              0.0012212
                     61,                 2.8862,                  2.075,                 2.9389,                 0.7298,                0.75258,                0.79728,                0.44299,                 2.9841,                 2.0143,                 3.0718,               0.001208,               0.001208,               0.001208
                     62,                  2.783,                 1.9444,                  2.874,                 0.9366,                0.76289,                 0.8821,                0.48565,                 3.1009,                 1.6617,                 3.0642,              0.0011948,              0.0011948,              0.0011948
                     63,                  2.853,                 2.0083,                 2.9426,                0.85632,                0.75258,                0.83535,                0.44743,                 3.1653,                  1.913,                 3.1543,              0.0011816,              0.0011816,              0.0011816
                     64,                 2.8106,                 2.0364,                 2.9125,                0.79828,                0.81595,                0.87302,                0.48069,                 3.0045,                 1.8218,                 3.0345,              0.0011684,              0.0011684,              0.0011684
                     65,                 2.7507,                 1.9517,                 2.8297,                0.91773,                0.69072,                0.84717,                0.46463,                 3.0781,                 1.9048,                 3.0512,              0.0011552,              0.0011552,              0.0011552
                     66,                 2.7685,                 1.9749,                 2.8827,                0.88587,                0.72021,                0.84396,                0.47675,                  3.072,                 1.7958,                 3.0577,               0.001142,               0.001142,               0.001142
                     67,                  2.752,                 1.9221,                 2.8514,                0.83585,                0.76289,                0.83439,                0.45284,                 2.9801,                 1.9324,                 3.0765,              0.0011288,              0.0011288,              0.0011288
                     68,                  2.735,                 1.9676,                 2.8375,                0.87496,                 0.7935,                0.86229,                0.52247,                 2.7987,                 1.8099,                 3.0208,              0.0011156,              0.0011156,              0.0011156
                     69,                 2.7586,                 1.9746,                 2.8683,                0.80606,                0.81443,                0.86163,                0.48116,                 2.9832,                 1.8516,                 3.1969,              0.0011024,              0.0011024,              0.0011024
                     70,                 2.7375,                 1.9599,                  2.879,                0.84639,                0.80412,                0.86195,                0.47668,                 2.8582,                 1.7547,                  3.065,              0.0010892,              0.0010892,              0.0010892
                     71,                 2.7117,                 1.8649,                 2.8382,                0.87474,                0.84536,                0.88834,                0.51912,                 2.7609,                 1.6739,                 2.9376,               0.001076,               0.001076,               0.001076
                     72,                 2.6941,                 1.8623,                 2.8499,                0.73923,                0.79381,                 0.8339,                0.51266,                  2.738,                 1.8012,                  2.953,              0.0010628,              0.0010628,              0.0010628
                     73,                 2.7283,                 1.8706,                 2.8461,                0.84548,                0.78973,                0.84793,                0.50521,                 2.8363,                 1.8231,                 2.9947,              0.0010496,              0.0010496,              0.0010496
                     74,                 2.7379,                 1.9025,                 2.8062,                0.83603,                0.78846,                0.87045,                0.53732,                 2.7317,                 1.6819,                 2.9382,              0.0010364,              0.0010364,              0.0010364
                     75,                 2.7291,                 1.8065,                 2.8082,                0.79307,                0.79381,                0.83321,                0.51198,                 2.7245,                 1.7524,                 2.9312,              0.0010232,              0.0010232,              0.0010232
                     76,                 2.6837,                 1.7766,                 2.8039,                0.83286,                0.83505,                 0.8451,                0.51941,                 2.6916,                 1.9832,                 2.9003,                0.00101,                0.00101,                0.00101
                     77,                 2.6881,                 1.8212,                 2.7839,                 0.8637,                0.78392,                0.87095,                0.52249,                 2.8416,                 1.7238,                 3.0709,              0.0009968,              0.0009968,              0.0009968
                     78,                 2.6951,                  1.807,                 2.8022,                0.89821,                0.78351,                0.89425,                0.52738,                 2.8831,                 1.7014,                 3.0093,              0.0009836,              0.0009836,              0.0009836
                     79,                 2.6425,                 1.7618,                 2.8057,                0.86579,                0.81443,                0.86757,                0.50172,                 2.8897,                 1.7977,                 2.9382,              0.0009704,              0.0009704,              0.0009704
                     80,                 2.6452,                 1.7511,                 2.7305,                0.91945,                0.79381,                0.87172,                0.53619,                 2.7714,                 1.5845,                  2.888,              0.0009572,              0.0009572,              0.0009572
                     81,                 2.6556,                 1.7909,                 2.7769,                0.85007,                0.81835,                0.86395,                0.47015,                 2.8783,                 1.8852,                 2.8723,               0.000944,               0.000944,               0.000944
                     82,                  2.603,                 1.7006,                 2.7338,                0.80554,                0.84536,                0.85442,                0.50654,                 2.7677,                 1.5787,                 2.9834,              0.0009308,              0.0009308,              0.0009308
                     83,                 2.6625,                 1.7356,                 2.7429,                 0.8802,                 0.7732,                0.84001,                0.47465,                 3.0755,                  1.701,                 3.0507,              0.0009176,              0.0009176,              0.0009176
                     84,                 2.7035,                 1.7291,                 2.7604,                0.82033,                0.82474,                0.86705,                0.53651,                 2.6681,                 1.7373,                 2.8596,              0.0009044,              0.0009044,              0.0009044
                     85,                 2.6065,                 1.7095,                 2.7626,                0.89388,                0.78158,                0.87431,                0.48508,                 2.9748,                  1.673,                  2.981,              0.0008912,              0.0008912,              0.0008912
                     86,                  2.678,                 1.7644,                   2.81,                0.83403,                 0.8289,                0.83685,                0.50825,                 2.6834,                 1.6825,                 2.8771,               0.000878,               0.000878,               0.000878
                     87,                 2.5992,                 1.7276,                 2.7219,                0.85721,                0.84536,                0.88076,                0.50565,                 2.8996,                 1.5704,                 3.0593,              0.0008648,              0.0008648,              0.0008648
                     88,                 2.6303,                 1.6926,                 2.7808,                0.82356,                0.80412,                0.84929,                0.49282,                 2.8676,                 1.7329,                 2.9624,              0.0008516,              0.0008516,              0.0008516
                     89,                 2.6175,                 1.6438,                 2.7056,                0.82561,                0.81443,                 0.8674,                0.52254,                 2.6997,                   1.61,                 2.8663,              0.0008384,              0.0008384,              0.0008384
                     90,                 2.5038,                 1.6486,                 2.7144,                0.85826,                0.83505,                0.86453,                0.50439,                 2.7842,                 1.6722,                 2.9439,              0.0008252,              0.0008252,              0.0008252
                     91,                 2.5867,                 1.6682,                  2.727,                0.85516,                0.83505,                0.85355,                0.52184,                 2.7555,                 1.6707,                 2.9762,               0.000812,               0.000812,               0.000812
                     92,                 2.5221,                 1.5732,                 2.7027,                0.84598,                0.79278,                0.85883,                 0.5461,                 2.7676,                 1.6789,                 2.9306,              0.0007988,              0.0007988,              0.0007988
                     93,                 2.6054,                 1.6657,                 2.7241,                0.84367,                0.83454,                0.87026,                0.52424,                 2.7468,                 1.6575,                 2.8513,              0.0007856,              0.0007856,              0.0007856
                     94,                 2.5321,                 1.6398,                 2.6955,                0.84589,                0.82474,                 0.8762,                0.52666,                 2.7723,                 1.5324,                 2.9026,              0.0007724,              0.0007724,              0.0007724
                     95,                 2.5391,                 1.6373,                 2.6653,                0.84384,                0.83565,                0.88517,                0.50163,                 2.8933,                  1.582,                 2.9647,              0.0007592,              0.0007592,              0.0007592
                     96,                 2.5159,                 1.5949,                 2.6528,                0.90038,                0.79381,                0.88126,                0.55308,                 2.7172,                 1.5831,                 2.9219,               0.000746,               0.000746,               0.000746
                     97,                 2.4623,                 1.5446,                 2.6528,                 0.8949,                0.76289,                0.84414,                0.52866,                 2.7216,                 1.6296,                 2.9254,              0.0007328,              0.0007328,              0.0007328
                     98,                 2.4558,                 1.5355,                 2.6097,                0.84759,                0.72165,                0.84325,                 0.5278,                 2.8481,                 1.6734,                 2.9476,              0.0007196,              0.0007196,              0.0007196
                     99,                 2.4782,                 1.5753,                 2.6688,                0.92702,                0.76289,                0.85793,                0.50264,                 2.9333,                 1.7873,                 3.0364,              0.0007064,              0.0007064,              0.0007064
                    100,                 2.4798,                 1.5695,                 2.6367,                0.88426,                0.79381,                0.85384,                 0.5334,                 2.7466,                 1.7724,                 2.9571,              0.0006932,              0.0006932,              0.0006932
                    101,                 2.4437,                  1.521,                 2.6312,                0.95038,                0.78984,                0.88435,                0.57223,                 2.6429,                 1.7236,                 2.8758,                0.00068,                0.00068,                0.00068
                    102,                 2.4394,                 1.5096,                 2.6162,                0.80307,                0.85567,                0.89993,                0.55356,                 2.7963,                 1.5059,                 2.9133,              0.0006668,              0.0006668,              0.0006668
                    103,                 2.4418,                 1.5255,                 2.6231,                0.89971,                0.83244,                0.89052,                0.55568,                 2.6832,                  1.459,                 2.9306,              0.0006536,              0.0006536,              0.0006536
                    104,                 2.3899,                  1.482,                 2.5981,                0.88429,                0.82474,                0.88566,                0.54223,                 2.7612,                 1.4712,                  2.897,              0.0006404,              0.0006404,              0.0006404
                    105,                 2.3793,                 1.5106,                 2.6272,                0.86799,                0.81343,                0.88856,                0.54561,                  2.778,                 1.5933,                 2.9257,              0.0006272,              0.0006272,              0.0006272
                    106,                  2.364,                 1.4414,                 2.6009,                0.91285,                 0.7732,                 0.8724,                0.53577,                 2.7642,                 1.4906,                 2.9137,               0.000614,               0.000614,               0.000614
                    107,                 2.3858,                 1.5164,                 2.5878,                0.91025,                0.83647,                0.89355,                0.55573,                 2.7523,                  1.576,                 2.9362,              0.0006008,              0.0006008,              0.0006008
                    108,                 2.3508,                  1.478,                 2.5777,                0.91985,                0.86598,                0.91272,                0.54665,                 2.8239,                 1.5172,                 2.9306,              0.0005876,              0.0005876,              0.0005876
                    109,                 2.3663,                 1.4565,                 2.5798,                 0.8244,                0.82474,                0.85358,                0.53011,                 2.7331,                 1.5786,                 2.9192,              0.0005744,              0.0005744,              0.0005744
                    110,                 2.3713,                 1.4273,                  2.574,                0.85233,                0.84536,                0.88841,                0.53223,                 2.7883,                 1.5317,                 2.9434,              0.0005612,              0.0005612,              0.0005612
                    111,                 2.3507,                 1.3973,                 2.5644,                0.89655,                0.80408,                0.88794,                0.54701,                 2.7316,                 1.4891,                 2.9427,               0.000548,               0.000548,               0.000548
                    112,                 2.3602,                 1.4046,                  2.547,                0.85589,                0.85722,                0.90286,                0.54638,                 2.7903,                  1.557,                 2.9335,              0.0005348,              0.0005348,              0.0005348
                    113,                 2.3375,                 1.3862,                 2.5626,                0.88247,                0.85149,                0.90851,                0.55128,                 2.7735,                 1.4198,                 2.9008,              0.0005216,              0.0005216,              0.0005216
                    114,                 2.3883,                 1.4219,                 2.5722,                0.91134,                0.84536,                0.91373,                0.53873,                 2.8262,                 1.4105,                 2.9928,              0.0005084,              0.0005084,              0.0005084
                    115,                 2.2958,                 1.4047,                  2.533,                0.90499,                0.83505,                0.89782,                0.53928,                 2.8382,                 1.4949,                 2.9726,              0.0004952,              0.0004952,              0.0004952
                    116,                  2.288,                 1.3611,                 2.5413,                0.84908,                0.86598,                 0.8962,                0.54983,                 2.6913,                   1.52,                 2.9075,               0.000482,               0.000482,               0.000482
                    117,                 2.3566,                 1.4494,                 2.5645,                0.90518,                0.88571,                 0.9145,                0.54727,                  2.785,                  1.342,                 2.9658,              0.0004688,              0.0004688,              0.0004688
                    118,                 2.2881,                 1.3639,                 2.5012,                0.91991,                0.82888,                 0.9118,                0.55162,                 2.7806,                 1.4461,                 2.9352,              0.0004556,              0.0004556,              0.0004556
                    119,                 2.2765,                 1.3825,                 2.4997,                0.88737,                0.89345,                0.92854,                0.57224,                 2.7628,                 1.3621,                 2.9006,              0.0004424,              0.0004424,              0.0004424
                    120,                 2.2938,                 1.3999,                 2.5326,                0.86775,                0.81172,                0.86734,                0.54129,                 2.7742,                 1.5486,                 2.9798,              0.0004292,              0.0004292,              0.0004292
                    121,                 2.3063,                 1.4011,                  2.525,                0.86178,                0.81443,                0.87911,                0.55606,                 2.6841,                 1.5345,                 2.8623,               0.000416,               0.000416,               0.000416
                    122,                 2.2561,                 1.3729,                 2.4887,                0.88113,                0.84066,                0.89411,                 0.5599,                 2.7026,                 1.3578,                 2.8836,              0.0004028,              0.0004028,              0.0004028
                    123,                 2.1861,                 1.3205,                 2.4725,                0.87081,                0.83391,                0.88808,                0.58018,                   2.62,                 1.3918,                 2.8578,              0.0003896,              0.0003896,              0.0003896
                    124,                  2.252,                 1.3125,                 2.5059,                0.90803,                0.84536,                0.91275,                0.56258,                 2.7522,                 1.3651,                 2.9272,              0.0003764,              0.0003764,              0.0003764
                    125,                 2.1973,                 1.3509,                 2.4664,                0.92252,                0.85924,                0.91197,                0.57863,                 2.6847,                 1.3959,                 2.8963,              0.0003632,              0.0003632,              0.0003632
                    126,                 2.2529,                 1.3333,                  2.502,                0.91749,                0.83505,                0.90237,                 0.5493,                 2.7568,                 1.4593,                 2.9397,                0.00035,                0.00035,                0.00035
                    127,                 2.1998,                 1.2877,                 2.4733,                0.86775,                 0.8794,                0.90411,                0.55079,                 2.7988,                  1.399,                  2.945,              0.0003368,              0.0003368,              0.0003368
                    128,                  2.154,                 1.2574,                 2.4436,                0.84429,                0.89443,                0.90712,                0.55224,                 2.6966,                 1.3839,                 2.9417,              0.0003236,              0.0003236,              0.0003236
